[01-Apr-2016 10:32:06 UTC] PHP Fatal error:  Call to undefined function getPms() in /home/ubuntu/workspace/2503ict/lab4/assoc-laravel/app/routes.php on line 41
[12-Apr-2016 07:01:00 UTC] PHP  11. call_user_func:{/home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:830}() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:830
[12-Apr-2016 07:01:00 UTC] PHP  12. {closure:/home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/start.php:223-271}() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:830
[12-Apr-2016 07:09:16 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/app/storage/views/18bc9c809d120c86919c3ce78324a922 on line 26
[12-Apr-2016 07:09:16 UTC] PHP Stack trace:
[12-Apr-2016 07:09:16 UTC] PHP   1. {main}() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/public/index.php:0
[12-Apr-2016 07:09:16 UTC] PHP   2. Illuminate\Foundation\Application->run() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/public/index.php:49
[12-Apr-2016 07:09:16 UTC] PHP   3. Stack\StackedHttpKernel->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:641
[12-Apr-2016 07:09:16 UTC] PHP   4. Illuminate\Cookie\Guard->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[12-Apr-2016 07:09:16 UTC] PHP   5. Illuminate\Cookie\Queue->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[12-Apr-2016 07:09:16 UTC] PHP   6. Illuminate\Session\Middleware->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[12-Apr-2016 07:09:16 UTC] PHP   7. Illuminate\Foundation\Application->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:72
[12-Apr-2016 07:09:16 UTC] PHP   8. Illuminate\Foundation\Application->dispatch() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:745
[12-Apr-2016 07:09:16 UTC] PHP   9. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:775
[12-Apr-2016 07:09:16 UTC] PHP  10. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1001
[12-Apr-2016 07:09:16 UTC] PHP  11. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1036
[12-Apr-2016 07:09:16 UTC] PHP  12. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1501
[12-Apr-2016 07:09:16 UTC] PHP  13. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/symfony/http-foundation/Symfony/Component/HttpFoundation/Response.php:202
[12-Apr-2016 07:09:16 UTC] PHP  14. Illuminate\View\View->render() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Http/Response.php:43
[12-Apr-2016 07:09:16 UTC] PHP  15. Illuminate\View\View->renderContents() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:78
[12-Apr-2016 07:09:16 UTC] PHP  16. Illuminate\View\View->getContents() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:109
[12-Apr-2016 07:09:16 UTC] PHP  17. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:140
[12-Apr-2016 07:09:16 UTC] PHP  18. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:56
[12-Apr-2016 07:09:16 UTC] PHP  19. include() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:37
[12-Apr-2016 07:16:24 UTC] PHP Parse error:  syntax error, unexpected ''index'' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/app/storage/views/18bc9c809d120c86919c3ce78324a922 on line 26
[12-Apr-2016 07:16:24 UTC] PHP Stack trace:
[12-Apr-2016 07:16:24 UTC] PHP   1. {main}() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/public/index.php:0
[12-Apr-2016 07:16:24 UTC] PHP   2. Illuminate\Foundation\Application->run() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/public/index.php:49
[12-Apr-2016 07:16:24 UTC] PHP   3. Stack\StackedHttpKernel->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:641
[12-Apr-2016 07:16:24 UTC] PHP   4. Illuminate\Cookie\Guard->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[12-Apr-2016 07:16:24 UTC] PHP   5. Illuminate\Cookie\Queue->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[12-Apr-2016 07:16:24 UTC] PHP   6. Illuminate\Session\Middleware->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[12-Apr-2016 07:16:24 UTC] PHP   7. Illuminate\Foundation\Application->handle() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:72
[12-Apr-2016 07:16:24 UTC] PHP   8. Illuminate\Foundation\Application->dispatch() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:745
[12-Apr-2016 07:16:24 UTC] PHP   9. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:775
[12-Apr-2016 07:16:24 UTC] PHP  10. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1001
[12-Apr-2016 07:16:24 UTC] PHP  11. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1036
[12-Apr-2016 07:16:24 UTC] PHP  12. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1501
[12-Apr-2016 07:16:24 UTC] PHP  13. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/symfony/http-foundation/Symfony/Component/HttpFoundation/Response.php:202
[12-Apr-2016 07:16:24 UTC] PHP  14. Illuminate\View\View->render() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/Http/Response.php:43
[12-Apr-2016 07:16:24 UTC] PHP  15. Illuminate\View\View->renderContents() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:78
[12-Apr-2016 07:16:24 UTC] PHP  16. Illuminate\View\View->getContents() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:109
[12-Apr-2016 07:16:24 UTC] PHP  17. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/View.php:140
[12-Apr-2016 07:16:24 UTC] PHP  18. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/2503ict/lab6/assoc-laravel/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:56
